MB2025_V1_00,General_Electoral_Population,Māori_Electoral_Population
0107901,93,15
0107903,99,93
0107906,48,135
0107907,51,75
0107908,15,63
0107909,48,33
0108100,-999,-999
0108200,87,66
0108401,21,18
0108402,39,33
0108403,45,48
0108404,24,12
0108500,75,51
0108600,69,78
0108700,54,66
0108800,51,39
0109000,75,42
0109102,48,72
0109103,81,30
0109300,-999,-999
0109401,-999,-999
0109402,45,9
0109403,48,-999
0109500,87,27
0109600,105,33
0109700,66,24
0109800,93,51
0109900,168,36
0110001,78,33
0110002,135,36
0110003,90,15
0110101,63,33
0110102,129,30
0110200,105,42
0110300,138,33
0110400,102,33
0110501,84,12
0110502,87,27
0110601,108,42
0110602,84,36
0110603,69,6
0110700,24,9
0110801,51,15
0110802,42,6
0111001,69,-999
0111002,66,12
0111003,42,-999
0111004,42,12
0111005,57,6
0111006,63,9
0111100,129,18
0111300,141,24
0111501,129,18
0111600,75,36
0111800,165,27
0111900,9,-999
0112000,141,15
0112100,123,45
0112201,129,96
0112202,99,45
0112300,105,9
0112400,69,15
0112500,117,21
0112600,114,-999
0112700,51,15
0112800,93,9
0112900,6,-999
0113000,63,6
0113100,18,12
0113201,42,30
0113202,120,54
0113500,93,18
0113600,87,39
0113700,24,21
0113800,117,66
0113900,27,9
0114000,81,63
0114102,15,6
0114201,75,-999
0114301,135,36
0114302,126,24
0114400,69,24
0114500,105,27
0114600,105,24
0114700,114,24
0114800,66,24
0114900,69,9
0115000,129,45
0115100,93,6
0115200,87,21
0115300,24,15
0115400,75,6
0115500,39,15
0115600,6,-999
0115700,9,-999
0115800,18,-999
0115900,123,30
0116000,123,30
0116100,69,33
0116200,66,9
0116300,-999,-999
0116600,54,-999
0116700,60,15
0116800,93,48
0116900,117,21
0117000,84,51
0117200,15,6
0117301,24,-999
0117304,48,6
0117400,72,9
0117500,111,15
0117600,72,-999
0117900,6,-999
0118000,51,21
0118100,51,21
0118200,60,-999
0118300,15,12
0118400,48,-999
0118600,27,45
0118700,39,21
0118800,42,-999
0118900,18,-999
0119000,63,21
0119100,27,-999
0119200,42,6
0119300,39,-999
0119400,36,51
0119500,30,-999
0119600,66,-999
0119700,69,-999
0119800,63,24
0119900,72,12
0120000,21,-999
0120100,75,-999
0120200,90,18
0120300,54,6
0120400,24,-999
0120500,57,15
0120600,54,18
0120700,33,-999
